City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,25.29,73,9,3.87,PN,1737842362
1,cockburn town,21.4612,-71.1419,25.98,100,0,5.66,TC,1737842363
2,ushuaia,-54.8,-68.3,14.81,44,20,7.2,AR,1737842365
3,deniliquin,-35.5333,144.9667,22.49,42,80,3.84,AU,1737842366
4,new norfolk,-42.7826,147.0587,14.28,55,76,1.07,AU,1737842367
5,port-aux-francais,-49.35,70.2167,7.71,93,97,16.97,TF,1737842368
6,ribeira grande,38.5167,-28.7,18.22,88,75,10.28,PT,1737842369
7,iqaluit,63.7506,-68.5145,-19.15,71,100,2.06,CA,1737842371
8,chernyshevsk,52.5243,117.0174,-18.52,90,100,2.98,RU,1737842372
9,vadso,70.0744,29.7487,-1.91,93,75,8.75,NO,1737842373
10,abra pampa,-22.7205,-65.697,18.68,38,63,8.61,AR,1737842374
11,tha khanon,9.0302,98.9529,22.48,96,48,0.9,TH,1737842375
12,olonkinbyen,70.9221,-8.7187,-1.55,80,53,10.89,SJ,1737842377
13,avarua,-21.2078,-159.775,29.03,79,40,2.57,CK,1737842378
14,tual,-5.6667,132.75,28.05,80,100,4.06,ID,1737842379
15,brisas de zicatela,15.8369,-97.0419,27.91,52,1,2.14,MX,1737842380
16,treasure island,27.7692,-82.769,17.82,60,50,1.79,US,1737842381
17,saipan,15.1355,145.701,27.58,80,20,3.09,MP,1737842383
18,aasiaat,68.7098,-52.8699,-20.56,99,88,3.23,GL,1737842186
19,sinop,41.7711,34.8709,4.73,91,15,0.14,TR,1737842385
20,azul,-36.777,-59.8585,35.0,10,0,0.49,AR,1737842386
21,sandnessjoen,66.0217,12.6316,-0.38,75,100,12.86,NO,1737842387
22,papatowai,-46.5619,169.4708,12.48,98,100,1.99,NZ,1737842389
23,vorgashor,67.5833,63.95,-24.4,94,97,2.65,RU,1737842390
24,nuku'alofa,-21.1333,-175.2,30.19,74,40,5.14,TO,1737842391
25,bude,50.8243,-4.5413,5.69,73,66,0.89,GB,1737842392
26,kayyerkan,69.3786,87.7439,-31.75,95,22,2.07,RU,1737842393
27,tiksi,71.6872,128.8694,-28.94,86,100,16.4,RU,1737842395
28,albany,42.6001,-73.9662,-3.11,56,99,0.45,US,1737842396
29,vilyuchinsk,52.9306,158.4028,-9.85,84,100,4.12,RU,1737842397
30,tura,25.5198,90.2201,12.8,71,0,1.44,IN,1737842398
31,caraballeda,10.6112,-66.8522,27.04,65,4,5.14,VE,1737842399
32,port angeles,48.1181,-123.4307,6.77,59,0,1.79,US,1737842401
33,sao vicente,-23.9631,-46.3919,27.98,89,20,2.84,BR,1737842402
34,bethel,41.3712,-73.414,-1.54,48,53,2.24,US,1737842403
35,east london,-33.0153,27.9116,22.47,89,0,5.04,ZA,1737842404
36,frontera,26.9333,-101.45,22.96,26,92,3.13,MX,1737842406
37,enewetak,11.3474,162.3373,26.74,67,72,8.51,MH,1737842407
38,kirakira,-10.4544,161.9205,28.66,78,72,3.09,SB,1737842409
39,arraial do cabo,-22.9661,-42.0278,27.98,65,40,7.2,BR,1737842410
40,fale old settlement,-9.3852,-171.2468,28.6,65,5,7.8,TK,1737842412
41,lebu,-37.6167,-73.65,16.64,75,0,8.53,CL,1737842413
42,yelizovo,53.1873,158.3805,-9.92,67,0,5.0,RU,1737842414
43,ceeldheer,3.8488,47.1806,22.97,80,100,8.26,SO,1737842415
44,jamestown,42.097,-79.2353,-1.66,66,100,6.69,US,1737842416
45,yellowknife,62.456,-114.3525,-0.33,92,75,4.63,CA,1737842418
46,polyarnyy,69.1989,33.4478,-1.51,88,100,6.2,RU,1737842419
47,port alfred,-33.5906,26.891,22.32,91,0,0.45,ZA,1737842420
48,olyokminsk,60.3736,120.4264,-20.91,88,100,4.16,RU,1737842421
49,codrington,-38.2667,141.9667,17.36,74,100,4.98,AU,1737842422
50,edinburgh of the seven seas,-37.0676,-12.3116,14.45,70,70,6.27,SH,1737842424
51,port mathurin,-19.6833,63.4167,26.46,76,11,7.51,MU,1737842425
52,afaahiti,-17.75,-149.2833,26.54,76,52,8.1,PF,1737842426
53,kiunga,-6.1219,141.2906,23.83,99,100,0.26,PG,1737842427
54,n'zeto,-7.2312,12.8666,25.49,84,98,2.26,AO,1737842428
55,correntina,-13.3433,-44.6367,24.86,73,97,0.82,BR,1737842430
56,crane,31.3974,-102.3501,19.21,14,72,2.99,US,1737842431
57,moron,-34.6534,-58.6198,30.59,39,0,4.92,AR,1737842432
